Désignation;Référence;code article;UM;Stock initial;Réceptions;Production;Stock Final;SHORTAGE
EMBALLAGEWM;Tape packing;LT-0009;PCS; 38 000 ; - ; - ; 38 000 ;  -  
EMBALLAGEWM;PP BAND;LT-0008;PCS; 66 000 ; - ; - ; 66 000 ;  -  
EMBALLAGEWM;manual user ;LT-0003;PCS; 7 066 ; - ; - ; 7 066 ;  -  
EMBALLAGEWM;packing case;LT-0010;PCS; 450 ; - ; 120 ; 330 ;  -  
EMBALLAGEWM;INSULATION BAG 14 cm;INSULATION BAG 14 cm;PCS; 4 000 ; - ; - ; 4 000 ;  -  
EMBALLAGEWM;COLLE NEOCOL;LT-0011;L; 193 ; - ; - ; 193 ;  -  
EMBALLAGEWM;Packing case OVEN SKY FULL GAZ Mec SF60-G3MVCX;SM-0001;PCS; 256 ; - ; - ; 256 ;  -  
EMBALLAGEWM;Packing case OVEN SKY GAZ ELEC Mec SF60-M3MVCX;SM-0002;PCS; 476 ; - ; - ; 476 ;  -  
EMBALLAGEWM;Packing case OVEN SKY ELEC DIGITAL SF60-E2DVCX;SM-0003;PCS; 206 ; - ; - ; 206 ;  -  
EMBALLAGEWM;Packing case OVEN SKY GAZ ELEC DIGITAL SF60-M2DVCX;SM-0004;PCS; 412 ; - ; - ; 412 ;  -  
EMBALLAGEWM;Packing case OVEN SKY FULL GAZ DIGITAL SF60-G2DVCX;SM-0005;PCS; 29 ; - ; - ; 29 ;  -  
EMBALLAGEWM;Packing case HOBS 60 CM , ST60-4BE1X, ST60-4BFS2X, ST60-4BSW4GB, ST60-4BSW3X;SM-0006;PCS; 991 ; - ; - ; 991 ;  -  
EMBALLAGEWM;Packing case HOBS 70 CM , ST70-5BEW5X;SM-0007;PCS; 112 ; - ; - ; 112 ;  -  
EMBALLAGEWM;Packing case Decorative hood 60 cm ,SH60-DT2GB;SM-0008;PCS; 13 ; - ; - ; 13 ;  -  
EMBALLAGEWM;Packing case pyramide hood 60 cm ,SH60-P1X;SM-0009;PCS; 43 ; - ; - ; 43 ;  -  
EMBALLAGEWM;Packing case T hood 60 cm ,SH60-TT3X;SM-0010;PCS; 68 ; - ; - ; 68 ;  -  
EMBALLAGEWM;Packing case Decorative hood 90 cm ,SH90-DT4GB;SM-0011;PCS; 10 ; - ; - ; 10 ;  -  
EMBALLAGEWM;sticker box SH60-P1X;ST-001;PCS; 43 ; - ; - ; 43 ;
EMBALLAGEWM;sticker box SH60-TT3X;ST-002;PCS; 42 ; - ; - ; 42 ;
EMBALLAGEWM;sticker box SH60-DT2GB;ST-003;PCS; 38 ; - ; - ; 38 ;
EMBALLAGEWM;sticker box SH90-DT4GB;ST-004;PCS; 31 ; - ; - ; 31 ;
EMBALLAGEWM;sticker box ST60-4BE1X;ST-005;PCS; 37 ; - ; - ; 37 ;
EMBALLAGEWM;sticker box ST60-4BFS2X;ST-006;PCS; 73 ; - ; - ; 73 ;
EMBALLAGEWM;sticker box ST60-4BSW4GB;ST-007;PCS; 39 ; - ; - ; 39 ;
EMBALLAGEWM;sticker box ST60-4BSW3X;ST-008;PCS; 90 ; - ; - ; 90 ;
EMBALLAGEWM;sticker box ST70-5BEW5X;ST-009;PCS; - ; - ; - ; - ;
EMBALLAGEWM;sticker box ST70-5BFS6X;ST-010;PCS; 54 ; - ; - ; 54 ;
EMBALLAGEWM;sticker box ST70-5BSW7GB;ST-011;PCS; 55 ; - ; - ; 55 ;
REF;RT32K5012S8;;PCS; 902 ; - ; 886 ; 16 ; 524 
REF;RT38K5012WW;;PCS; - ; - ; - ; - ; 436 
REF;RT38K5532S8;;PCS; 1 000 ; - ; 551 ; 449 ; 1 279 
REF;RT46K6231WW;;PCS; - ; - ; - ; - ; 187 
REF;RT46K6231S8;;PCS; 800 ; - ; 797 ; 3 ; 658 
REF;RT46K6231B8;;PCS; 1 938 ; - ; - ; 1 938 ; 12 
REFCOMP;RT32K5012S8;;PCS; 902 ; - ; 886 ; 16 ;  -  
REFCOMP;RT38K5012WW;;PCS; - ; - ; - ; - ;  -  
REFCOMP;RT38K5532S8;;PCS; 1 000 ; - ; 551 ; 449 ;  -  
REFCOMP;RT46K6231WW;;PCS; - ; - ; - ; - ;  -  
REFCOMP;RT46K6231S8;;PCS; 800 ; - ; 797 ; 3 ;  -  
REFCOMP;RT46K6231B8;;PCS; 1 938 ; - ; - ; 1 938 ;  -  
RESINE;PP (BJ 7500);;KG; - ; - ; - ; - ;  -  
RESINE;PP (BI850);;KG; - ; - ; - ; - ;  -  
RESINE;PP (P-001S);;KG; - ; - ; - ; - ;  -  
RESINE;PP (BJ750W180);;KG; - ; - ; - ; - ;  -  
RESINE;GPPS (116-G);;KG; - ; - ; - ; - ;  -  
RESINE;FC2305 (NATS );;KG; - ; - ; - ; - ;  -  
RESINE;FC2305 (W154);;KG; - ; - ; - ; - ;  -  
RESINE;HIPS (XQ83180);;KG; - ; - ; - ; - ;  -  
RESINE;BSPR (NF-6068r);;KG; - ; - ; - ; - ;  -  
RESINE;HI-PRENE (HG43NC);;KG; - ; - ; - ; - ;  -  
RESINE;STAREX ABS (RM-0760);;KG; - ; - ; - ; - ;  -  
RESINE;FC2305(W229);;KG; - ; - ; - ; - ;  -  
RESINE;PP HFFR-1510 NT;;KG; - ; - ; - ; - ;  -  
RESINE;GF-S;;KG; 44 200 ; - ; - ; 44 200 ;  -  
RESINE;ABS QU-0191 S;;KG; 57 800 ; - ; 10 200 ; 47 600 ;  -  
RESINE;PVC ;;KG; 12 000 ; - ; - ; 12 000 ;  -  
RESINE;ABS BLANC;;KG; - ; - ; - ; - ;  -  
RESINE;ABS NOIRE ;;KG; - ; - ; - ; - ;  -  
RESINE;pp color white;;KG; - ; - ; - ; - ;  -  
RESINE;sabic;;KG; - ; - ; - ; - ;  -  
RESINE;ABS BLANC INEOS STYROLUTION GP-22;;KG; - ; - ; - ; - ;  -  
TVCKD;QA55Q80BAUSBM;;PCS; - ; - ; - ; - ; 2 
TVCKD;QA55Q80CAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA55QN90BAUSBM;;PCS; - ; - ; - ; - ; 1 
TVCKD;QA65Q80BAUSBM;;PCS; - ; - ; - ; - ; 23 
TVCKD;QA65QN90BAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA75QN90BAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA75Q70CAUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;QA85QN800CUSBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA32N5000ASCBM;;PCS; - ; - ; - ; - ; 67 
TVCKD;UA32T5300AUCBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA43N5000ASCBM;;PCS; - ; - ; - ; - ; 26 
TVCKD;UA43T5300AUCBM;;PCS; - ; - ; - ; - ;  -  
TVCKD;UA50AU7000UCBM;;PCS; - ; - ; - ; - ; 22 
TVCKD;UA50CU7000UCBM;;PCS; - ; - ; - ; - ; 4 
TVCKD;UA55AU7000UCBM;;PCS; - ; - ; - ; - ; 3 
TVCKD;UA55BU8000USBM;;PCS; - ; - ; - ; - ; 13 
TVCKD;UA55CU7000UCBM;;PCS; - ; - ; - ; - ; 11 
